model,layer,best_C,roc_auc,num_nonzero,sparsity_ratio,top_20_dims
base,0,0.01,0.5103199804592086,3,0.001953125,"[592, 1080, 33, 1535, 513, 506, 507, 508, 509, 510, 511, 512, 514, 504, 515, 516, 517, 518, 519, 520]"
distilled,0,0.01,0.5158681694465768,3,0.001953125,"[592, 1080, 33, 1535, 513, 506, 507, 508, 509, 510, 511, 512, 514, 504, 515, 516, 517, 518, 519, 520]"
base,1,0.1,0.7618814990578546,245,0.15950520833333334,"[8, 19, 743, 1163, 1249, 643, 206, 482, 959, 275, 1158, 1081, 533, 1535, 511, 60, 1261, 591, 506, 432]"
distilled,1,0.1,0.7573801381813106,254,0.16536458333333334,"[19, 959, 1039, 533, 1416, 743, 697, 818, 1003, 1163, 678, 810, 5, 680, 1133, 238, 1472, 786, 1158, 1082]"
base,2,0.1,0.7949263730895386,272,0.17708333333333334,"[105, 64, 203, 1376, 1133, 355, 1191, 125, 41, 1034, 394, 297, 1217, 1419, 328, 1390, 1332, 643, 870, 521]"
distilled,2,0.1,0.7945076418452091,268,0.17447916666666666,"[1177, 41, 1133, 355, 935, 328, 818, 286, 1034, 105, 64, 125, 1377, 203, 1306, 486, 19, 875, 1376, 533]"
base,3,0.1,0.8077151231767744,266,0.17317708333333334,"[1271, 1343, 587, 1534, 935, 643, 524, 1322, 1048, 28, 758, 1390, 1191, 693, 475, 1342, 736, 759, 983, 1163]"
distilled,3,0.1,0.8059878567939145,284,0.18489583333333334,"[284, 1048, 1271, 41, 935, 105, 380, 1471, 442, 805, 626, 12, 600, 759, 989, 1177, 1229, 125, 1090, 814]"
base,4,1.0,0.8009281875915976,961,0.6256510416666666,"[1390, 105, 1391, 932, 282, 404, 974, 981, 108, 1343, 249, 374, 524, 521, 695, 1514, 52, 1271, 85, 1482]"
distilled,4,0.1,0.8190208667736758,292,0.19010416666666666,"[1471, 521, 846, 284, 297, 249, 626, 587, 981, 888, 1124, 41, 814, 382, 356, 649, 829, 260, 48, 1390]"
base,5,0.1,0.8058482797124712,237,0.154296875,"[570, 1390, 1471, 1271, 336, 1030, 1171, 65, 587, 288, 988, 1520, 302, 12, 939, 1343, 1409, 148, 863, 365]"
distilled,5,0.1,0.8121815897829576,290,0.18880208333333334,"[481, 981, 1390, 91, 1171, 297, 382, 16, 843, 516, 585, 932, 1030, 49, 1283, 164, 65, 445, 225, 1431]"
base,6,0.1,0.8031614208946891,263,0.17122395833333334,"[1471, 302, 184, 65, 1179, 404, 570, 1096, 995, 116, 30, 475, 1376, 1379, 371, 512, 939, 1454, 1047, 28]"
distilled,6,0.1,0.8058308325772908,288,0.1875,"[1301, 65, 1356, 1431, 1176, 512, 211, 297, 883, 995, 91, 805, 826, 1447, 1283, 382, 1258, 1086, 672, 184]"
base,7,0.1,0.7967059808779399,252,0.1640625,"[524, 6, 931, 939, 745, 1525, 112, 1353, 463, 430, 1478, 359, 570, 214, 935, 979, 1092, 1195, 668, 1430]"
distilled,7,0.1,0.8016609672691744,275,0.17903645833333334,"[8, 586, 328, 774, 1298, 158, 188, 1040, 48, 1525, 200, 826, 267, 993, 1498, 1254, 112, 24, 359, 1265]"
base,8,0.1,0.8212017586712262,249,0.162109375,"[1513, 359, 542, 971, 693, 204, 749, 6, 954, 1193, 1425, 30, 97, 973, 788, 1290, 851, 58, 745, 1094]"
distilled,8,0.1,0.8164735850373369,280,0.18229166666666666,"[1301, 328, 798, 570, 168, 1521, 1298, 1498, 904, 935, 382, 8, 359, 184, 65, 862, 564, 676, 883, 126]"
base,9,0.1,0.8247260799776677,243,0.158203125,"[1193, 1513, 542, 749, 1425, 372, 937, 1481, 363, 773, 1437, 359, 1208, 572, 297, 1092, 541, 138, 151, 38]"
distilled,9,0.1,0.8298555377207062,281,0.18294270833333334,"[1301, 359, 974, 1312, 778, 1525, 1253, 676, 43, 853, 290, 237, 65, 1163, 736, 1043, 357, 1461, 667, 749]"
base,10,0.1,0.8229639193244469,264,0.171875,"[1134, 105, 1402, 937, 1306, 1425, 746, 1000, 1488, 236, 1477, 891, 1439, 297, 905, 775, 1313, 1437, 570, 1004]"
distilled,10,0.1,0.826941866145579,288,0.1875,"[853, 1403, 359, 112, 318, 460, 1306, 1213, 153, 42, 665, 301, 870, 904, 1006, 1067, 1312, 174, 589, 699]"
base,11,0.1,0.8277269872286971,260,0.16927083333333334,"[1425, 1076, 105, 822, 637, 863, 112, 810, 463, 1213, 359, 687, 1438, 82, 674, 1368, 743, 419, 645, 167]"
distilled,11,0.1,0.8429234419708284,291,0.189453125,"[112, 1213, 300, 486, 318, 1301, 460, 1267, 1355, 904, 822, 1084, 139, 232, 637, 1030, 359, 207, 1305, 570]"
base,12,0.1,0.8270116546863006,262,0.17057291666666666,"[767, 1425, 3, 602, 1094, 575, 764, 436, 1267, 1076, 1438, 669, 940, 400, 667, 343, 962, 332, 951, 460]"
distilled,12,0.1,0.8305534231279224,298,0.19401041666666666,"[1216, 1152, 112, 3, 486, 1429, 489, 853, 9, 593, 371, 1486, 1094, 553, 229, 139, 422, 13, 480, 1213]"
base,13,0.1,0.8284423197710936,239,0.15559895833333334,"[575, 352, 602, 194, 400, 112, 1211, 63, 962, 436, 767, 500, 774, 460, 669, 600, 6, 1365, 1377, 1457]"
distilled,13,0.1,0.8463081861958266,321,0.208984375,"[371, 1496, 1094, 1477, 344, 1194, 194, 736, 1022, 1444, 1481, 3, 460, 231, 1372, 997, 1213, 75, 510, 595]"
base,14,0.1,0.8315653569683857,263,0.17122395833333334,"[362, 1034, 1495, 1026, 774, 176, 155, 352, 1477, 771, 1425, 1066, 400, 1071, 8, 575, 787, 795, 1129, 1021]"
distilled,14,0.1,0.8277444343638775,285,0.185546875,"[1194, 344, 371, 331, 1324, 601, 1213, 985, 480, 1419, 646, 256, 904, 486, 554, 74, 939, 300, 326, 112]"
base,15,0.1,0.8320538767534371,251,0.16341145833333334,"[575, 362, 400, 1403, 818, 281, 1159, 1425, 1078, 155, 1094, 237, 962, 1325, 478, 354, 295, 571, 352, 671]"
distilled,15,0.1,0.8358747993579454,292,0.19010416666666666,"[970, 785, 1411, 746, 1194, 1094, 1066, 904, 371, 38, 82, 480, 1009, 1207, 558, 542, 326, 1368, 743, 964]"
base,16,0.1,0.8492916463116755,271,0.17643229166666666,"[352, 400, 1325, 1119, 1055, 204, 1481, 500, 575, 1495, 951, 962, 507, 1202, 69, 637, 1403, 1477, 671, 1094]"
distilled,16,0.1,0.8564973131411823,291,0.189453125,"[1119, 1143, 600, 453, 791, 1477, 785, 1116, 250, 889, 82, 1194, 1002, 1094, 1263, 1449, 300, 326, 388, 796]"
base,17,0.1,0.8541768441621885,256,0.16666666666666666,"[352, 334, 400, 117, 1026, 746, 515, 847, 1054, 1107, 575, 868, 1425, 507, 1150, 651, 500, 774, 1307, 637]"
distilled,17,0.1,0.8425396049968596,285,0.185546875,"[82, 1143, 1477, 18, 1057, 1108, 607, 1029, 1444, 300, 63, 926, 1269, 940, 1314, 1080, 204, 465, 764, 1030]"
base,18,0.1,0.8402016888826854,232,0.15104166666666666,"[867, 525, 1082, 575, 1094, 90, 1201, 111, 783, 300, 637, 515, 1456, 791, 1499, 1533, 1425, 959, 270, 1287]"
distilled,18,0.1,0.8426966292134832,277,0.18033854166666666,"[1477, 325, 1143, 82, 1094, 300, 308, 785, 1432, 441, 270, 648, 665, 374, 1491, 486, 926, 1108, 1533, 1403]"
base,19,0.1,0.8331879405401633,224,0.14583333333333334,"[624, 1425, 1082, 1267, 500, 867, 1098, 783, 111, 1210, 497, 525, 575, 300, 671, 960, 1451, 1533, 959, 201]"
distilled,19,0.1,0.8442668713797195,257,0.16731770833333334,"[785, 1061, 1025, 161, 344, 712, 1477, 382, 652, 300, 441, 575, 1143, 1098, 1094, 402, 926, 551, 1194, 1267]"
base,20,0.1,0.8241328773815338,219,0.142578125,"[344, 1082, 1336, 300, 515, 1451, 745, 54, 1533, 637, 1042, 918, 1098, 1223, 382, 1477, 867, 239, 543, 952]"
distilled,20,0.1,0.8389629422848768,247,0.16080729166666666,"[785, 382, 344, 300, 600, 1094, 787, 168, 1056, 374, 693, 1267, 772, 597, 1019, 167, 226, 575, 441, 465]"
base,21,0.1,0.8153395212506106,208,0.13541666666666666,"[300, 1267, 155, 1037, 889, 1386, 359, 92, 1104, 747, 1336, 324, 1042, 957, 208, 1474, 884, 1150, 216, 1259]"
distilled,21,0.1,0.8417893781841022,255,0.166015625,"[300, 167, 252, 1267, 161, 1287, 785, 168, 344, 819, 1103, 693, 957, 1471, 308, 659, 575, 712, 1019, 382]"
base,22,0.1,0.8138041733547352,191,0.12434895833333333,"[1428, 1037, 1474, 384, 1267, 155, 889, 1015, 1441, 800, 1287, 33, 147, 851, 163, 952, 352, 1104, 54, 1162]"
distilled,22,0.1,0.8493788819875776,242,0.15755208333333334,"[300, 168, 308, 167, 915, 1287, 1471, 283, 693, 515, 382, 1499, 252, 78, 1094, 1037, 1477, 82, 597, 91]"
base,23,0.1,0.8258078023588526,213,0.138671875,"[1428, 224, 147, 635, 1150, 331, 725, 1532, 1441, 939, 201, 1287, 911, 159, 1351, 49, 155, 375, 1474, 384]"
distilled,23,0.1,0.8443541070556214,231,0.150390625,"[300, 1503, 624, 515, 1287, 94, 1439, 1137, 1471, 1032, 55, 96, 1098, 82, 1019, 671, 1241, 31, 116, 693]"
base,24,0.1,0.813367994975225,204,0.1328125,"[147, 508, 715, 33, 939, 1150, 201, 1104, 1380, 1474, 410, 889, 1244, 1428, 1087, 14, 515, 224, 868, 1287]"
distilled,24,0.1,0.8470933072789448,240,0.15625,"[300, 1137, 1241, 605, 1041, 1287, 3, 310, 904, 1503, 624, 772, 1383, 693, 1433, 702, 116, 1032, 838, 1194]"
base,25,0.1,0.812844580919813,208,0.13541666666666666,"[147, 1287, 939, 715, 1400, 1087, 508, 201, 224, 1150, 644, 1499, 266, 1214, 779, 1037, 827, 1168, 1147, 438]"
distilled,25,0.1,0.8457149835996929,244,0.15885416666666666,"[1137, 1383, 1041, 1503, 300, 573, 997, 3, 554, 1287, 605, 1053, 631, 671, 1457, 1155, 978, 695, 403, 778]"
base,26,0.1,0.8173808360667179,219,0.142578125,"[939, 49, 438, 827, 1287, 176, 1185, 54, 224, 147, 308, 848, 899, 310, 311, 779, 138, 1377, 282, 985]"
distilled,26,0.1,0.8449124153813944,251,0.16341145833333334,"[1137, 1041, 243, 997, 1457, 573, 978, 695, 1053, 1270, 554, 1287, 689, 1205, 749, 493, 233, 1165, 1223, 1384]"
base,27,0.1,0.8075406518249704,231,0.150390625,"[308, 1287, 438, 827, 610, 1087, 779, 100, 1214, 407, 1260, 1127, 547, 284, 1405, 41, 242, 676, 147, 310]"
distilled,27,0.1,0.8355781980598785,283,0.18424479166666666,"[86, 1137, 162, 540, 243, 497, 623, 1457, 862, 1152, 554, 695, 1198, 258, 193, 1041, 978, 495, 457, 309]"
base,28,0.1,0.7925535627050038,244,0.15885416666666666,"[1287, 308, 1360, 91, 438, 407, 543, 54, 252, 802, 162, 1324, 623, 414, 334, 625, 338, 892, 1351, 121]"
distilled,28,0.1,0.8346186056249564,272,0.17708333333333334,"[162, 1471, 1137, 243, 1152, 457, 276, 978, 540, 1287, 862, 497, 1205, 655, 1437, 1457, 1185, 358, 1338, 258]"
